Data,Time (ns)
0.115173556,149572
0.639410675,148620
0.125876710,168638
0.093147799,146316
0.274749160,145344
0.531534255,149483
0.647141874,149442
0.281038225,148850
0.815433264,
0.611898720,
0.984777570,
0.405257136,
0.715075552,
0.897993267,
0.807290018,
0.216193870,
0.855568886,
0.543914676,
0.274044096,
0.552273035,
0.847099245,
0.388386458,
0.980562627,
0.943199515,
0.663941503,
0.366761565,
0.330780238,
0.908608258,
0.440100402,
0.688288987,
0.692206681,
0.046304613,
0.355931699,
0.951967359,
0.069661543,
0.601259470,
0.126863822,
0.122480430,
0.769318819,
0.489946634,
0.179165438,
0.527154028,
0.174949318,
0.241937175,
0.229091600,
0.591668546,
0.497439504,
0.572801471,
0.671398699,
0.833809853,
0.308035195,
0.755964637,
0.222807512,
0.770332456,
0.972779632,
0.908648431,
0.570250809,
0.260442048,
0.926281750,
0.701428175,
0.973075867,
0.651267350,
0.030945795,
0.447329015,
0.642906368,
0.790128469,
0.685657978,
0.410936743,
0.113730192,
0.657449365,
0.236957058,
0.860213339,
0.964243054,
0.800679922,
0.075001277,
0.165025502,
0.054257527,
0.227337331,
0.795969486,
0.745602727,
0.351732969,
0.336135179,
0.037775218,
0.801706135,
0.187290654,
0.343706459,
0.924658716,
0.675596774,
0.922831476,
0.977717996,
0.374165326,
0.382206500,
0.551475227,
0.202645391,
0.480630070,
0.366341203,
0.226274386,
0.249993742,
0.832229733,
0.905308664,
0.778089881,
0.281846374,
0.589985549,
0.632560492,
0.454236150,
0.013877336,
0.308918417,
0.865894020,
0.726226985,
0.389976948,
0.224299848,
0.986485481,
0.505424917,
0.041546308,
0.155638665,
0.422850072,
0.198330238,
0.503533900,
0.923621416,
0.128698930,
0.126970947,
0.863145769,
0.305348963,
0.848790765,
0.160471961,
0.203280866,
0.589750886,
0.550312877,
0.124615267,
0.553954780,
0.988673210,
0.217363551,
0.715309203,
0.936563671,
0.598273993,
0.631996691,
0.508078039,
0.682935894,
0.160359472,
0.723578632,
0.437421262,
0.845705748,
0.452793419,
0.138317719,
0.235755861,
0.515054345,
0.724126101,
0.075783074,
0.785963356,
0.661493301,
0.563441157,
0.178427145,
0.849496245,
0.182064965,
0.977282166,
0.551673293,
0.152939826,
0.399708480,
0.758328378,
0.253115684,
0.315430909,
0.772167265,
0.203375295,
0.359697074,
0.923460722,
0.215176970,
0.845756829,
0.384662092,
0.492575318,
0.499157310,
0.755479515,
0.726287842,
0.141097605,
0.900082529,
0.483783275,
0.080340944,
0.979048193,
0.646929741,
0.777983904,
0.891189039,
0.551702023,
0.869610786,
0.032999899,
0.394557118,
0.271167189,
0.165738061,
0.547771752,
0.460902959,
0.511406004,
0.167533815,
0.719642103,
0.279714286,
0.702171445,
0.586787581,
0.402323633,
0.393082291,
0.112397045,
0.367089450,
0.293913901,
0.741605222,
0.974752188,
0.106858790,
0.793911099,
0.875176609,
0.969076872,
0.231804967,
0.878767669,
0.948256314,
0.724369228,
0.474260360,
0.125721350,
0.218394637,
0.625219285,
0.321439058,
0.240404710,
0.335498303,
0.276075155,
0.819307625,
0.569670200,
0.240650132,
0.403412610,
0.228117213,
0.544632137,
0.607951283,
0.957581520,
0.126061320,
0.007369190,
0.536647439,
0.917296946,
0.654710829,
0.645541847,
0.243772641,
0.538883388,
0.516887426,
0.627547145,
0.755364478,
0.465936452,
0.411354214,
0.239553690,
0.840638220,
0.573777616,
0.693000317,
0.347336590,
0.060940903,
0.387801409,
0.770592034,
0.974258006,
0.175572917,
0.115585484,
0.030640390,
0.595053494,
0.135519668,
0.178566679,
0.125638589,
0.661512375,
0.715540767,
0.349037617,
0.730546832,
0.093624420,
0.514550924,
0.624528587,
0.031514067,
0.836096048,
0.990726173,
0.636993408,
0.475207269,
0.313712597,
0.472539544,
0.267303884,
0.521967411,
0.663386524,
0.190539524,
0.900275409,
0.161411136,
0.162480876,
0.132512480,
0.069454536,
0.534422576,
0.024031386,
0.537980080,
0.354280889,
0.136251763,
0.558462143,
0.482976645,
0.244357452,
0.080862701,
0.677878022,
0.306971431,
0.603282869,
0.689221263,
0.164745376,
0.080871232,
0.507931530,
0.517805040,
0.225488409,
0.989038110,
0.877972722,
0.024240548,
0.225420088,
0.500823438,
0.826481402,
0.245168045,
0.176052451,
0.183118448,
0.997867882,
0.705370367,
0.287661076,
0.552021682,
0.979704201,
0.626332104,
0.966713667,
0.056336515,
0.329920471,
0.678155124,
0.138200566,
0.578694761,
0.219069585,
0.466317177,
0.073192954,
0.516478658,
0.776547730,
0.491624445,
0.111855462,
0.376130253,
0.765078962,
0.714057505,
0.181240335,
0.164773777,
0.707866788,
0.569431961,
0.243177414,
0.130451903,
0.150500074,
0.580837548,
0.519546986,
0.837388456,
0.936257660,
0.702028871,
0.472843140,
0.463332951,
0.915099561,
0.003352134,
0.811661482,
0.762947381,
0.842282891,
0.495894551,
0.268569589,
0.573397577,
0.081209816,
0.961733937,
0.784552634,
0.291907787,
0.235557780,
0.845986962,
0.578790963,
0.684424341,
0.526772141,
0.965026975,
0.274110943,
0.583074212,
0.142755270,
0.397040635,
0.616372049,
0.611603975,
0.833809078,
0.045838475,
0.821425796,
0.304011256,
0.473219156,
0.906145811,
0.338213265,
0.191326529,
0.093343616,
0.568849802,
0.440998375,
0.508402407,
0.545798004,
0.050839685,
0.096319266,
0.093592085,
0.994972765,
0.406986833,
0.537078083,
0.537678540,
0.679654837,
0.218554959,
0.422353566,
0.272368819,
0.554121792,
0.298850596,
0.238277256,
0.423804760,
0.177916765,
0.417455524,
0.316890806,
0.847774565,
0.685704529,
0.735368609,
0.468001455,
0.530889750,
0.589112818,
0.847219646,
0.906146646,
0.825566173,
0.796643674,
0.938831091,
0.534860492,
0.042171240,
0.310812801,
0.281790644,
0.634181201,
0.000428520,
0.817639828,
0.649279952,
0.629689336,
0.476817548,
0.349238575,
0.704106688,
0.772318184,
0.235289678,
0.980204582,
0.675707579,
0.005594200,
0.790095210,
0.200762495,
0.937411606,
0.583139718,
0.421190590,
0.667884767,
0.075621873,
0.128243253,
0.308952749,
0.740571320,
0.098974645,
0.676464796,
0.234994546,
0.521661043,
0.294855535,
0.435755551,
0.757391274,
0.882973254,
0.619538248,
0.071728311,
0.799575448,
0.621439636,
0.930683911,
0.005969423,
0.862607360,
0.203308508,
0.976448476,
0.601623058,
0.982239902,
0.724111319,
0.006209522,
0.341227800,
0.143432677,
0.263620645,
0.727934420,
0.813298285,
0.139747828,
0.096209615,
0.112011351,
0.898964763,
0.525938809,
0.147885039,
0.829349399,
0.851978600,
0.087666474,
0.163898408,
0.064770646,
0.754171550,
0.272814244,
0.149370387,
0.818780541,
0.749199152,
0.073711336,
0.102382571,
0.947046578,
0.866534650,
0.927204728,
0.851394475,
0.834201097,
0.457579136,
0.667805195,
0.946122944,
0.503751338,
0.667548358,
0.950441480,
0.186779231,
0.396027416,
0.739677072,
0.170369938,
0.763992608,
0.797290921,
0.438910842,
0.860396266,
0.937104166,
0.038993057,
0.154328004,
0.466136783,
0.085635439,
0.329515308,
0.166741654,
0.605670691,
0.489552140,
0.830940068,
0.504378736,
0.205676198,
0.439213216,
0.814126968,
0.522611499,
0.506468475,
0.872725725,
0.711403668,
0.377817005,
0.910655677,
0.876929522,
0.886037409,
0.873919129,
0.967226088,
0.104283318,
0.024132920,
0.706552982,
0.175138220,
0.380813390,
0.422157556,
0.130841553,
0.263826638,
0.331656307,
0.031256888,
0.606413841,
0.022745755,
0.691344321,
0.429866493,
0.611338139,
0.243487865,
0.076882862,
0.172726244,
0.464288831,
0.323443651,
0.105100207,
0.817554235,
0.567488790,
0.864582598,
0.330818713,
0.218086645,
0.835928738,
0.773163259,
0.270836473,
0.536654651,
0.832549691,
0.844469547,
0.321198285,
0.235798255,
0.991647840,
0.220886007,
0.967948556,
0.171866998,
0.988151610,
0.378048569,
0.768123984,
0.506578863,
0.088981360,
0.889807761,
0.449127316,
0.665334105,
0.862381041,
0.059989542,
0.975775242,
0.986809433,
0.227134138,
0.769432425,
0.966370225,
0.856814265,
0.097645953,
0.874549031,
0.503681719,
0.723210752,
0.434747547,
0.589093149,
0.573383689,
0.548712850,
0.349767774,
0.144406617,
0.335227191,
0.086370729,
0.855597377,
0.051419083,
0.995642424,
0.405088454,
0.227290183,
0.795922041,
0.247237906,
0.643298924,
0.361134320,
0.126639053,
0.997906029,
0.662960291,
0.013225622,
0.722704351,
0.113025904,
0.042289093,
0.804581940,
0.188598782,
0.216492966,
0.641805172,
0.706105947,
0.889182091,
0.330505997,
0.200300634,
0.075187862,
0.728407681,
0.147995472,
0.511364460,
0.140154660,
0.388114035,
0.151752621,
0.360981077,
0.705539763,
0.810274422,
0.854869306,
0.458260566,
0.681198657,
0.064616948,
0.992775559,
0.080010310,
0.980994344,
0.282487750,
0.944974482,
0.776654780,
0.264854997,
0.307474941,
0.130198523,
0.984088182,
0.830211401,
0.268154204,
0.776959717,
0.567283511,
0.946775377,
0.418391407,
0.314492166,
0.993016839,
0.172908843,
0.836896479,
0.047123846,
0.475137889,
0.566417634,
0.445299774,
0.011208361,
0.382592469,
0.326715291,
0.868341148,
0.900855899,
0.193290263,
0.417807251,
0.339361459,
0.984297276,
0.003371539,
0.165821493,
0.519672751,
0.938832462,
0.784682333,
0.611320853,
0.932856560,
0.725573897,
0.002157419,
0.924496531,
0.515884995,
0.079442985,
0.963804662,
0.154549584,
0.545165002,
0.261537939,
0.017781841,
0.833530903,
0.489613682,
0.195368052,
0.391452998,
0.643882453,
0.423442483,
0.205335006,
0.195700109,
0.706298590,
0.013758166,
0.903921664,
0.547757566,
0.090714850,
0.037442453,
0.372541070,
0.075627781,
0.110589519,
0.145421073,
0.363796771,
0.877792776,
0.565358937,
0.993968546,
0.367439270,
0.659379184,
0.670995951,
0.706701934,
0.903450489,
0.162613600,
0.741235435,
0.828274310,
0.252644539,
0.509511828,
0.049760450,
0.529767871,
0.941551983,
0.333166450,
0.220286205,
0.696299434,
0.230531290,
0.826498389,
0.326105893,
0.767692804,
0.523332715,
0.467327237,
0.198989704,
0.059548609,
0.394712597,
0.954897463,
0.754435539,
0.172471866,
0.146702230,
0.569997132,
0.854018033,
0.210316151,
0.439971149,
0.998518646,
0.197892606,
0.655820370,
0.368130565,
0.076288857,
0.191961765,
0.194138885,
0.527897716,
0.439159662,
0.668369174,
0.731923342,
0.700392365,
0.017435372,
0.993989646,
0.368034661,
0.824947715,
0.715921760,
0.363472044,
0.090426795,
0.816836774,
0.549042583,
0.766933322,
0.466256112,
0.933256447,
0.938321888,
0.759456277,
0.932043910,
0.769749761,
0.750187695,
0.177895889,
0.102242276,
0.889118791,
0.612892807,
0.600788832,
0.992850602,
0.190048918,
0.713347197,
0.587727070,
0.708720684,
0.136795357,
0.953830540,
0.996863723,
0.302181035,
0.291552067,
0.580497801,
0.942684948,
0.725903511,
0.918764174,
0.221104100,
0.381986320,
0.806949258,
0.581450939,
0.462612003,
0.815688312,
0.624379098,
0.878278673,
0.005833845,
0.634546280,
0.625260711,
0.014243253,
0.064595111,
0.989044964,
0.968381107,
0.313105077,
0.545865595,
0.898143888,
0.062405713,
0.567128062,
0.037929874,
0.304367632,
0.826018751,
0.381011188,
0.148331553,
0.223581359,
0.290516019,
0.529313445,
0.475842893,
0.996010125,
0.708713770,
0.625166833,
0.551303506,
0.883732855,
0.278756529,
0.526028574,
0.703927100,
0.844470739,
0.348233581,
0.164066061,
0.916025579,
0.564777434,
0.293092430,
0.340392798,
0.150645182,
0.275661707,
0.642220736,
0.042788532,
0.405840933,
0.649890304,
0.051561236,
0.626837850,
