A:
348,143,819,976,893,539,508,905
137,851,236,488,428,559,398,880
252,587,501,801,702,731,947,162
874,851,369,596,474,769,719,445
868,424,404,836,36,371,968,373
248,686,366,568,824,203,293,328
226,436,892,326,441,146,78,346
601,395,168,461,206,895,293,880

B:
348,143,819,976,893,539,508,905
137,851,236,488,428,559,398,880
252,587,501,801,702,731,947,162
874,851,369,596,474,769,719,445
868,424,404,836,36,371,968,373
248,686,366,568,824,203,293,328
226,436,892,326,441,146,78,346
601,395,168,461,206,895,293,880
