A:
365,729,469,45,552,79,789,215
290,879,285,562,197,212,204,290
50,753,919,823,414,232,921,946
0,195,744,855,574,304,168,879
927,243,99,347,181,854,936,700
646,71,658,379,507,307,69,584
39,815,431,97,986,805,720,720
557,867,682,1000,283,729,274,659

B:
365,729,469,45,552,79,789,215
290,879,285,562,197,212,204,290
50,753,919,823,414,232,921,946
0,195,744,855,574,304,168,879
927,243,99,347,181,854,936,700
646,71,658,379,507,307,69,584
39,815,431,97,986,805,720,720
557,867,682,1000,283,729,274,659
