A:
0.0536551,0.430277,0.443683,0.115399,0.985649,0.615003,0.874771,0.470471
0.0585047,0.183273,0.920023,0.390564,0.992123,0.726958,0.385745,0.647777
0.423089,0.0750278,0.686328,0.144845,0.239198,0.879083,0.710382,0.805973
0.157465,0.193155,0.869736,0.118099,0.104475,0.186947,0.271022,0.563619
0.459881,0.19451,0.306286,0.671448,0.820103,0.609104,0.352014,0.7091
0.763728,0.118431,0.22943,0.263069,0.223679,0.773298,0.343307,0.662721
0.487744,0.871156,0.163748,0.805777,0.491074,0.637176,0.209682,0.59232
0.470233,0.980189,0.560724,0.49119,0.732575,0.499381,0.36263,0.986062

B:
0.0536551,0.430277,0.443683,0.115399,0.985649,0.615003,0.874771,0.470471
0.0585047,0.183273,0.920023,0.390564,0.992123,0.726958,0.385745,0.647777
0.423089,0.0750278,0.686328,0.144845,0.239198,0.879083,0.710382,0.805973
0.157465,0.193155,0.869736,0.118099,0.104475,0.186947,0.271022,0.563619
0.459881,0.19451,0.306286,0.671448,0.820103,0.609104,0.352014,0.7091
0.763728,0.118431,0.22943,0.263069,0.223679,0.773298,0.343307,0.662721
0.487744,0.871156,0.163748,0.805777,0.491074,0.637176,0.209682,0.59232
0.470233,0.980189,0.560724,0.49119,0.732575,0.499381,0.36263,0.986062
